City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,melchor de mencos,17.0686,-89.1522,34.0,59,40,0.0,GT,1695073283
156,alegrete,-29.7831,-55.7919,16.26,90,98,6.61,BR,1695073284
157,kharp,66.8014,65.8081,3.82,97,100,3.13,RU,1695073284
158,boende,-0.2167,20.8667,21.55,97,84,0.61,CD,1695073284
159,newman,37.3138,-121.0208,29.02,30,0,0.78,US,1695073284
160,santa luzia,-19.7697,-43.8514,28.5,41,20,4.12,BR,1695073284
161,bom jesus,-9.0744,-44.3586,30.9,23,4,3.26,BR,1695073284
162,clarence-rockland,45.5501,-75.291,21.38,72,61,2.08,CA,1695073284
163,siracusa,37.0881,15.2792,25.73,55,97,2.22,IT,1695073284
164,sao joao da barra,-21.6403,-41.0511,24.05,76,0,8.05,BR,1695073285
165,magadan,59.5667,150.8,6.68,59,100,3.31,RU,1695073285
166,galle,6.0367,80.217,25.33,86,100,0.91,LK,1695073058
167,yuzhno-kurilsk,44.0306,145.8556,16.83,97,100,1.02,RU,1695073285
168,ilulissat,69.2167,-51.1,1.01,64,20,0.0,GL,1695073285
169,codrington,-38.2667,141.9667,13.0,74,53,5.72,AU,1695073285
170,polyarnyy,69.1989,33.4478,5.46,90,100,2.19,RU,1695073285
171,san antonio de pale,-1.4014,5.6325,24.26,85,40,3.65,GQ,1695073285
172,comodoro rivadavia,-45.8667,-67.5,7.92,36,20,6.69,AR,1695073105
173,stanley,54.868,-1.6985,9.18,88,8,5.98,GB,1695073285
174,la ronge,55.1001,-105.2842,24.12,33,0,4.63,CA,1695073286
175,georgetown,5.4112,100.3354,25.01,97,20,1.54,MY,1695073140
176,mandalgovi,45.7625,106.2708,5.03,83,6,4.36,MN,1695073286
177,egilsstadir,65.2653,-14.3948,10.95,76,100,11.32,IS,1695073286
178,tolanaro,-25.0319,46.9987,21.04,88,20,4.12,MG,1695073286
179,fort bragg,35.139,-79.006,27.17,53,0,1.79,US,1695073018
180,kununurra,-15.7667,128.7333,18.99,82,27,2.57,AU,1695073286
181,port sudan,19.6175,37.2164,31.58,60,33,2.65,SD,1695073286
182,nola,40.922,14.5329,27.74,61,100,0.98,IT,1695073286
183,olinda,-8.0089,-34.8553,25.85,83,75,5.66,BR,1695073287
184,jiuquan,39.7432,98.5174,10.75,41,2,1.88,CN,1695073287
185,muroto-misakicho,33.2833,134.15,26.53,80,9,3.0,JP,1695073287
186,poso,-1.3959,120.7524,24.6,79,16,1.78,ID,1695073287
187,ado-odo,6.6,2.9333,24.38,92,52,0.7,NG,1695073287
188,haiku-pauwela,20.9219,-156.3051,30.01,49,40,9.26,US,1695073287
189,boguchany,58.3814,97.4531,12.42,81,97,1.53,RU,1695073287
190,yorosso,12.3536,-4.7761,23.87,81,41,1.91,ML,1695073287
191,tura,25.5198,90.2201,23.43,95,100,1.82,IN,1695073287
192,bayston hill,52.6764,-2.7722,12.4,87,40,2.57,GB,1695073288
